id,mz_low,mz_high,Name,root_region_intensity,m/z,spec_id
333,838.5273610513041,838.5772580124261,PS(18:0/22:4(7Z_10Z_13Z_16Z)),354.50396728515625,838.5603,525a39ab-0131-4ffa-b4a8-7ee5342b5908
334,837.5238388902559,837.5619156003936,PI(16:0/18:0),282.9085693359375,837.5498,947a36d8-ff6a-45f1-b486-2d07255ecac9
335,835.5163636026504,835.5489749184138,PI(16:0/18:1(9Z)),950.1176147460938,835.5337,2907a129-da26-46a7-beea-ffbaf7ff192b
336,834.5167259506032,834.5442752113826,PS(18:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z)),1352.7525634765625,834.529,ab6687da-73c1-4107-99d6-80ece0d8db35
337,833.4933534869027,833.5360097369027,PI(16:1(9Z)/18:1(9Z)),232.0796661376953,833.5183,f8093e2f-d532-4b3b-acae-e796b2adcb6c
338,832.4924373851103,832.5301717601103,PS(18:1(9Z)/22:6(4Z_7Z_10Z_13Z_16Z_19Z)),220.61105346679688,832.5134,405621ed-835a-46cf-b6d5-7277d22e039a
339,818.5559712488512,818.5900383444393,PE(20:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z)),152.52914428710938,818.5705,bc8bd862-4bf8-427d-bd70-85b0b868a46e
340,816.5614556740587,816.5898436538815,PS(14:0/24:1(15Z)),123.70128631591797,816.576,8e6d2f84-948a-4bd3-bbad-4868a663c698
341,814.5439447380514,814.5792664292279,PS(14:1(9Z)/24:1(15Z)),107.74258422851562,814.5603,b44d9d87-abe7-43f8-90c4-81906dc7d138
342,812.5191515395221,812.5582370174633,PS(18:0/20:3(8Z_11Z_14Z)),185.4983367919922,812.5447,fe50110f-2e47-4604-857b-c2a67e85ca93
343,811.5128183439961,811.547116449311,PA(45:9),242.42178344726562,811.5283,4001c005-0c39-49c9-8d32-f1e6bcd00e4c
344,810.5113582100455,810.5412963867187,PS(18:0/20:4(8Z_11Z_14Z_17Z)),418.734619140625,810.529,dc5aa9ed-3c40-491e-a7f9-4e5fbb9e10f8
345,809.4956282488004,809.5278917207492,PI(16:0/16:0),216.67445373535156,809.5185,3778e677-11af-4da2-a742-0d1cd8fa6181
346,797.5159291234511,797.5615289861506,PG(20:4(5Z_8Z_11Z_14Z)/18:0),162.4095458984375,797.5329,36d0f62f-8400-4022-9e0b-d0b301b79edb
347,795.4834192365344,795.5154567331011,PA(22:4(7Z_10Z_13Z_16Z)/22:6(4Z_7Z_10Z_13Z_16Z_19Z)),137.8257293701172,795.497,902bfba6-ade7-4f22-864b-f9e11a8c2726
348,794.5581632358821,794.5803054449126,PE(18:0/22:4(7Z_10Z_13Z_16Z)),321.5106506347656,794.5705,00738fe9-8c90-46b9-ac9e-bcbbb22dd27d
349,792.5367585429996,792.5652771476687,PE(18:0/22:5(7Z_10Z_13Z_16Z_19Z)),342.47589111328125,776.5599,459add88-0559-47e9-a272-16a3e66f3a0f
350,791.447656106388,791.4844383329504,PA(22:6(4Z_7Z_10Z_13Z_16Z_19Z)/22:6(4Z_7Z_10Z_13Z_16Z_19Z)),141.1542205810547,791.4657,a4c148e1-ee04-4fb3-9e6e-c5f076e82a7a
351,788.5327914623505,788.5538291119515,PS(18:0/18:1(9Z)),584.931396484375,788.5447,982cabe8-e41c-4141-a3ab-46137119a7e8
352,786.5157458207738,786.5418696365956,PS(18:0/18:2(9Z_12Z)),231.0370635986328,786.529,f1a4133d-3c7f-46ca-9992-d4e9109ea055
353,785.589062230444,785.6202022901468,PA(18:0/24:1(15Z)),78.71218872070312,785.6066,426a0d03-2264-4807-beb6-d9162bb7155b
354,783.5713500976562,783.6113891601562,PA(18:1(11Z)/24:1(15Z)),84.45790100097656,783.5909,ea8e33f5-13af-4b8e-8be8-55639f6f271f
356,775.5336855430302,775.5615877406804,PG(18:1(11Z)/18:0),166.4180450439453,775.5479,1ddf3e56-5e34-49d3-9ec6-feb35fe72145
357,774.5311472647014,774.5551436524206,PE(P-18:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z)),239.41104125976562,774.5443,dbd81299-643b-4587-9818-172497e67c4f
358,773.5001277669271,773.5477114449295,PG(18:2(9Z_12Z)/18:0),207.0417938232422,773.5318,9160970b-488f-4e43-bdcd-cf88adb87b00
359,772.5688270869217,772.6002860482283,PE(14:0/24:1(15Z)),278.1928405761719,772.5862,65c7a5b1-060e-4d77-8a93-0ccbf7f4dbf2
360,770.5557166392408,770.5849066306287,PE(14:1(9Z)/24:1(15Z)),200.11000061035156,770.5705,075a6735-56f8-44e1-9048-ffbb0e3d81b5
361,760.4969658586091,760.5285457835478,PS(16:0/18:1(9Z)),169.43621826171875,760.5134,04025e5f-35d1-4cc8-94d1-f2bc5f978d3d
362,757.5561715118711,757.6040041961865,PA(16:0/24:1(15Z)),134.28085327148438,757.5753,7c52eefc-0423-4957-af23-b41ff113bad4
363,755.5424057632592,755.5921678994357,PA(16:1(9Z)/24:1(15Z)),140.44760131835938,755.5596,45b7e8e8-346d-4c8d-92d5-ed8ef1a12ddf
